failure,rawReadErrorRate,spinUpTime,startStopCount,reallocatedSectors,seekErrorRate,powerOnHours,spinRetryCount,powerCycleCount,reportedUncorrect,loadCycleCount,temperature,pendingSectors,offlineUncorrectable,crcErrorCount
1,0.0,8100.0,17.0,8383.0,0.0,26410.0,0.0,17.0,0.0,866.0,25.0,132.0,0.0,0.0
1,217150760.0,0.0,1.0,0.0,505367622.0,1800.0,0.0,1.0,4.0,107.0,28.0,440.0,440.0,0.0
1,0.0,8019.0,12.0,0.0,0.0,16496.0,0.0,12.0,0.0,541.0,34.0,3.0,3.0,0.0
1,0.0,8047.0,11.0,0.0,0.0,16451.0,0.0,11.0,0.0,513.0,32.0,5.0,0.0,0.0
1,0.0,7921.0,10.0,0.0,0.0,17137.0,0.0,10.0,0.0,1192.0,25.0,1.0,0.0,0.0
1,0.0,7927.0,16.0,0.0,0.0,17126.0,0.0,16.0,0.0,1368.0,35.0,9.0,0.0,0.0
1,14417760.0,0.0,16.0,120.0,3664682946.0,70212.0,0.0,17.0,3.0,84280.0,34.0,0.0,0.0,0.0
1,52907976.0,0.0,11.0,56.0,927771429.0,34821.0,0.0,10.0,239.0,2997.0,36.0,544.0,544.0,0.0
1,0.0,7915.0,6.0,0.0,0.0,27392.0,0.0,4.0,0.0,46.0,27.0,1.0,2.0,0.0
1,21695080.0,0.0,35.0,8848.0,126696855.0,44200.0,0.0,35.0,237.0,2324.0,25.0,64.0,64.0,0.0
1,164919248.0,0.0,35.0,3216.0,866927027.0,44201.0,0.0,35.0,12.0,2352.0,31.0,0.0,0.0,0.0
1,95473112.0,0.0,5.0,0.0,373783434.0,43337.0,0.0,5.0,0.0,2431.0,40.0,16.0,16.0,0.0
1,0.0,0.0,0.0,0.0,0.0,41891.0,0.0,21.0,0.0,0.0,42.0,0.0,0.0,0.0
1,231937872.0,0.0,7.0,15664.0,37894254.0,39023.0,0.0,7.0,71.0,2824.0,43.0,0.0,0.0,0.0
1,0.0,0.0,5.0,58.0,0.0,36110.0,0.0,5.0,0.0,1793.0,37.0,24.0,2.0,0.0
1,0.0,8093.0,10.0,0.0,0.0,16648.0,0.0,10.0,0.0,495.0,26.0,10.0,0.0,0.0
1,0.0,7916.0,18.0,0.0,0.0,17175.0,0.0,18.0,0.0,850.0,25.0,2.0,0.0,0.0
1,0.0,7939.0,14.0,0.0,0.0,17177.0,0.0,14.0,0.0,1295.0,35.0,10.0,1.0,0.0
1,80430016.0,0.0,11.0,400.0,69466956841.0,39382.0,0.0,11.0,2323.0,1853.0,37.0,8.0,8.0,0.0
1,0.0,52.0,84.0,0.0,0.0,49267.0,0.0,84.0,0.0,2323.0,31.0,0.0,0.0,0.0
1,0.0,409.0,53.0,241.0,0.0,49265.0,0.0,52.0,0.0,2388.0,34.0,22.0,93.0,0.0
1,917510.0,0.0,9.0,14.0,0.0,45192.0,0.0,8.0,0.0,1638.0,37.0,27.0,21.0,0.0
1,42729883.0,407.0,15.0,95.0,0.0,36135.0,0.0,15.0,0.0,1341.0,34.0,608.0,83.0,0.0
1,0.0,408.0,17.0,4.0,0.0,36136.0,0.0,17.0,0.0,1794.0,28.0,240.0,65.0,0.0
1,0.0,408.0,17.0,66.0,0.0,36120.0,0.0,17.0,0.0,1850.0,33.0,200.0,22.0,0.0
1,0.0,5172.0,12.0,0.0,0.0,10565.0,0.0,12.0,0.0,138.0,36.0,1.0,1.0,0.0
1,0.0,1443.0,26.0,0.0,0.0,49562.0,0.0,26.0,0.0,3913.0,34.0,0.0,0.0,0.0
1,0.0,0.0,1.0,0.0,0.0,6943.0,0.0,1.0,0.0,253.0,33.0,0.0,0.0,0.0
1,0.0,469.0,13.0,2.0,0.0,60331.0,0.0,13.0,0.0,13043.0,49.0,0.0,0.0,0.0
1,0.0,0.0,6.0,151.0,0.0,36687.0,0.0,6.0,0.0,1786.0,21.0,312.0,29.0,0.0
1,0.0,407.0,11.0,0.0,0.0,47927.0,0.0,11.0,0.0,1748.0,36.0,1.0,1.0,0.0
1,153339840.0,0.0,28.0,16.0,163418621.0,44237.0,0.0,28.0,16.0,2461.0,32.0,312.0,312.0,0.0
1,62636474.0,0.0,13.0,2896.0,834906267.0,43375.0,0.0,12.0,70.0,2786.0,33.0,112.0,112.0,0.0
1,0.0,151.0,7.0,0.0,0.0,33540.0,0.0,6.0,0.0,1048.0,40.0,32.0,0.0,0.0
1,2900608.0,0.0,1.0,1104.0,21883091.0,8446.0,0.0,1.0,0.0,363.0,36.0,0.0,0.0,0.0
1,240429144.0,0.0,4.0,1088.0,125751912.0,29637.0,0.0,3.0,67.0,2982.0,25.0,144.0,144.0,0.0
1,0.0,1915.0,20.0,0.0,0.0,61802.0,0.0,20.0,0.0,2508.0,31.0,0.0,0.0,0.0
1,59826408.0,0.0,8.0,24.0,785976700.0,37845.0,0.0,8.0,0.0,2006.0,42.0,0.0,0.0,0.0
1,393216.0,405.0,13.0,8.0,0.0,47951.0,0.0,9.0,0.0,2501.0,39.0,14.0,0.0,0.0
1,0.0,0.0,7.0,43.0,0.0,47945.0,0.0,7.0,0.0,2532.0,39.0,22.0,39.0,0.0
1,0.0,405.0,13.0,28.0,0.0,47947.0,0.0,10.0,0.0,2507.0,37.0,8.0,6.0,0.0
1,214098416.0,0.0,20.0,960.0,721121013.0,43368.0,0.0,20.0,8.0,2157.0,24.0,0.0,0.0,0.0
1,109454544.0,0.0,33.0,17656.0,288352854.0,42059.0,0.0,31.0,193.0,11081.0,41.0,0.0,0.0,0.0
1,0.0,7913.0,18.0,0.0,0.0,26247.0,0.0,18.0,0.0,151.0,33.0,5.0,0.0,0.0
1,196608.0,360.0,10.0,0.0,0.0,8626.0,0.0,10.0,0.0,6031.0,38.0,64.0,0.0,0.0
1,4915293.0,347.0,18.0,2.0,0.0,3118.0,0.0,18.0,0.0,221.0,39.0,2032.0,0.0,0.0
1,120072968.0,0.0,3.0,47632.0,933972403.0,23158.0,0.0,3.0,395.0,4895.0,27.0,96.0,96.0,0.0
1,42009063.0,335.0,9.0,0.0,0.0,4032.0,0.0,9.0,0.0,229.0,37.0,152.0,0.0,0.0
1,0.0,7958.0,10.0,0.0,0.0,16530.0,0.0,10.0,0.0,191.0,33.0,27.0,26.0,0.0
1,9484136.0,0.0,37.0,18352.0,1438976669.0,65284.0,0.0,37.0,14.0,99948.0,40.0,0.0,0.0,0.0
1,0.0,90.0,153.0,0.0,0.0,49333.0,0.0,150.0,0.0,2835.0,29.0,0.0,0.0,0.0
1,35919840.0,0.0,21.0,256.0,603067662.0,41765.0,0.0,20.0,90.0,10569.0,27.0,0.0,0.0,0.0
1,166358728.0,0.0,11.0,0.0,4946436577.0,39864.0,0.0,11.0,0.0,2024.0,30.0,0.0,0.0,0.0
1,0.0,415.0,28.0,20.0,0.0,36214.0,0.0,28.0,0.0,1843.0,31.0,504.0,68.0,0.0
1,74657108.0,0.0,27.0,0.0,541379570.0,33370.0,0.0,25.0,294.0,2555.0,37.0,43304.0,43304.0,0.0
1,0.0,8371.0,15.0,0.0,0.0,10831.0,0.0,15.0,0.0,103.0,18.0,2.0,2.0,0.0
1,0.0,8035.0,16.0,0.0,0.0,16606.0,0.0,16.0,0.0,541.0,24.0,3.0,3.0,0.0
1,0.0,8160.0,7.0,0.0,0.0,16546.0,0.0,7.0,0.0,183.0,34.0,15.0,0.0,0.0
1,196227744.0,0.0,40.0,104.0,1524969623.0,65251.0,0.0,40.0,3.0,98857.0,40.0,0.0,0.0,0.0
1,0.0,7695.0,5.0,0.0,0.0,30622.0,0.0,5.0,0.0,197.0,29.0,1.0,0.0,0.0
1,0.0,7877.0,12.0,0.0,0.0,32778.0,0.0,11.0,0.0,17.0,32.0,1.0,0.0,0.0
1,81583504.0,0.0,24.0,0.0,348860014.0,43842.0,0.0,25.0,0.0,2174.0,26.0,0.0,0.0,0.0
1,216539408.0,0.0,24.0,0.0,463728937.0,43840.0,0.0,23.0,0.0,2163.0,25.0,0.0,0.0,0.0
1,86932448.0,0.0,5.0,0.0,251945764.0,43417.0,0.0,5.0,31.0,1943.0,41.0,0.0,0.0,0.0
1,0.0,8012.0,84.0,0.0,0.0,1192.0,0.0,84.0,0.0,122.0,28.0,0.0,0.0,0.0
1,0.0,6895.0,17.0,1265.0,0.0,23286.0,0.0,17.0,0.0,786.0,34.0,0.0,0.0,0.0
1,170437824.0,0.0,55.0,23072.0,3317546975.0,66506.0,0.0,56.0,37.0,65865.0,42.0,0.0,0.0,0.0
1,0.0,7799.0,18.0,0.0,0.0,35120.0,0.0,18.0,0.0,28.0,34.0,1.0,0.0,0.0
1,181250248.0,0.0,10.0,168.0,572249396.0,39506.0,0.0,10.0,9.0,1801.0,35.0,0.0,0.0,0.0
1,78824312.0,0.0,15.0,16848.0,531681260.0,39525.0,0.0,15.0,186.0,2625.0,28.0,416.0,416.0,0.0
1,0.0,8208.0,22.0,44.0,0.0,27576.0,0.0,22.0,0.0,64.0,40.0,187.0,0.0,0.0
1,0.0,8087.0,13.0,0.0,0.0,10688.0,0.0,13.0,0.0,101.0,32.0,497.0,497.0,0.0
1,0.0,330.0,14.0,0.0,0.0,18549.0,0.0,14.0,0.0,3043.0,43.0,2344.0,0.0,0.0
1,238909688.0,0.0,30.0,27984.0,2740621927.0,70379.0,0.0,25.0,313.0,86023.0,34.0,0.0,0.0,0.0
1,74824856.0,0.0,18.0,0.0,337126830.0,51887.0,0.0,17.0,0.0,70.0,36.0,0.0,0.0,0.0
1,0.0,0.0,5.0,15.0,0.0,48045.0,0.0,5.0,0.0,1765.0,36.0,53.0,151.0,0.0
1,0.0,412.0,16.0,14.0,0.0,48737.0,0.0,16.0,0.0,2130.0,44.0,33.0,6.0,0.0
1,241928162.0,0.0,63.0,88.0,785200835.0,44379.0,0.0,63.0,8.0,2299.0,34.0,8.0,8.0,0.0
1,119067226.0,0.0,63.0,15411.0,612232269.0,44382.0,0.0,63.0,104.0,2271.0,36.0,64.0,64.0,0.0
1,1572864.0,415.0,31.0,1.0,0.0,36294.0,0.0,28.0,0.0,2334.0,31.0,24.0,6.0,0.0
1,0.0,9405.0,13.0,0.0,0.0,2096.0,0.0,13.0,0.0,19.0,34.0,0.0,0.0,0.0
1,17498419.0,367.0,9.0,0.0,0.0,1555.0,0.0,9.0,0.0,236.0,39.0,0.0,0.0,0.0
1,47083592.0,0.0,1.0,25248.0,600665925.0,2087.0,0.0,1.0,478.0,93.0,29.0,8.0,8.0,0.0
1,113031240.0,0.0,31.0,25944.0,227180255.0,69725.0,0.0,31.0,155.0,74425.0,32.0,0.0,0.0,0.0
1,0.0,7868.0,7.0,1.0,0.0,41157.0,0.0,5.0,0.0,74.0,27.0,1.0,0.0,0.0
1,28480368.0,0.0,5.0,0.0,180190929.0,34292.0,0.0,5.0,0.0,1799.0,27.0,0.0,0.0,0.0
1,35726624.0,0.0,10.0,0.0,710605236.0,32991.0,0.0,10.0,0.0,2325.0,28.0,0.0,0.0,0.0
1,164358384.0,0.0,29.0,8.0,95466842.0,44383.0,0.0,29.0,0.0,2472.0,38.0,0.0,0.0,0.0
1,130810512.0,0.0,17.0,8.0,8974337801.0,43524.0,0.0,9.0,75.0,2406.0,35.0,0.0,0.0,0.0
1,5.0,407.0,20.0,34.0,0.0,36310.0,0.0,18.0,0.0,1304.0,24.0,608.0,90.0,0.0
1,0.0,0.0,2.0,0.0,0.0,27982.0,0.0,2.0,0.0,957.0,43.0,0.0,0.0,0.0
1,8454177.0,352.0,9.0,0.0,0.0,2897.0,0.0,9.0,0.0,314.0,39.0,504.0,0.0,0.0
1,48626160.0,0.0,16.0,17064.0,114962775.0,64206.0,0.0,16.0,58.0,228.0,39.0,0.0,0.0,0.0
1,0.0,409.0,14.0,11.0,0.0,31189.0,0.0,9.0,0.0,1193.0,30.0,48.0,48.0,0.0
1,0.0,7971.0,3.0,0.0,0.0,28079.0,0.0,3.0,0.0,136.0,30.0,0.0,0.0,0.0
1,0.0,411.0,17.0,22.0,0.0,49441.0,0.0,16.0,0.0,1836.0,23.0,65.0,176.0,0.0
1,0.0,0.0,8.0,0.0,0.0,30258.0,0.0,7.0,0.0,1108.0,41.0,8.0,1.0,0.0
1,232263400.0,0.0,26.0,10568.0,703374877.0,44425.0,0.0,26.0,47.0,2682.0,34.0,208.0,208.0,0.0
1,176587072.0,0.0,18.0,6184.0,237061552.0,44405.0,0.0,18.0,260.0,2255.0,39.0,0.0,0.0,0.0
1,33891016.0,0.0,25.0,25376.0,239112647.0,42117.0,0.0,24.0,144.0,11123.0,42.0,16.0,16.0,0.0
1,0.0,8152.0,12.0,0.0,0.0,10760.0,0.0,12.0,0.0,105.0,34.0,1035.0,1040.0,0.0
1,5604224.0,0.0,3.0,232.0,535460346.0,12281.0,0.0,3.0,107.0,2556.0,37.0,1152.0,1152.0,0.0
1,213120968.0,0.0,13.0,2968.0,1638142115.0,70459.0,0.0,13.0,24.0,78921.0,38.0,0.0,0.0,0.0
1,115136112.0,0.0,28.0,8.0,4151112937.0,72136.0,0.0,27.0,30.0,73053.0,36.0,16.0,16.0,0.0
1,39226480.0,0.0,25.0,56088.0,1805941277.0,67771.0,0.0,23.0,452.0,83171.0,23.0,0.0,0.0,0.0
1,243051888.0,0.0,24.0,58912.0,1512500233.0,67792.0,0.0,24.0,137.0,41548.0,38.0,8.0,8.0,0.0
1,0.0,404.0,11.0,77.0,0.0,32236.0,0.0,8.0,0.0,1273.0,35.0,50.0,29.0,0.0
1,117311640.0,0.0,16.0,4624.0,439178748.0,40583.0,0.0,12.0,625.0,3039.0,31.0,0.0,0.0,0.0
1,0.0,0.0,6.0,0.0,0.0,35217.0,0.0,6.0,0.0,1275.0,39.0,0.0,0.0,0.0
1,183295976.0,0.0,7.0,7848.0,784416699.0,39375.0,0.0,5.0,213.0,1891.0,25.0,0.0,0.0,0.0
1,124008200.0,0.0,10.0,6088.0,18094314877.0,38231.0,0.0,10.0,100.0,2097.0,43.0,88.0,88.0,0.0
1,80696768.0,0.0,25.0,35544.0,428384893.0,33512.0,0.0,23.0,8646.0,2560.0,36.0,96.0,96.0,0.0
1,127875424.0,0.0,13.0,0.0,700531690.0,26768.0,0.0,13.0,0.0,4239.0,35.0,16.0,16.0,0.0
1,0.0,8119.0,11.0,0.0,0.0,10789.0,0.0,11.0,0.0,105.0,36.0,843.0,0.0,0.0
1,0.0,320.0,21.0,4.0,0.0,46628.0,0.0,21.0,0.0,1446.0,30.0,16.0,0.0,0.0
1,0.0,387.0,63.0,15.0,0.0,46654.0,0.0,63.0,0.0,1618.0,30.0,1056.0,261.0,0.0
1,0.0,398.0,34.0,0.0,0.0,46633.0,0.0,34.0,0.0,1794.0,30.0,2008.0,0.0,0.0
1,93358720.0,0.0,3.0,128.0,481358391.0,23322.0,0.0,3.0,34109.0,4888.0,40.0,1080.0,1080.0,0.0
1,170286888.0,0.0,5.0,0.0,782696025.0,13311.0,0.0,5.0,16.0,4561.0,38.0,984.0,984.0,0.0
1,0.0,410.0,13.0,0.0,0.0,32746.0,0.0,13.0,0.0,1649.0,33.0,5.0,0.0,0.0
1,234344872.0,0.0,17.0,2504.0,218450317.0,40600.0,0.0,14.0,85.0,3181.0,29.0,8.0,8.0,0.0
1,0.0,1449.0,19.0,0.0,0.0,59019.0,0.0,19.0,0.0,6170.0,35.0,0.0,0.0,0.0
1,0.0,2596.0,68.0,0.0,0.0,34374.0,0.0,68.0,0.0,80.0,22.0,0.0,0.0,0.0
1,0.0,8064.0,64.0,0.0,0.0,37659.0,0.0,64.0,0.0,75.0,25.0,0.0,0.0,0.0
1,411898486.0,0.0,7.0,4.0,0.0,33840.0,0.0,7.0,0.0,1331.0,41.0,456.0,0.0,0.0
1,0.0,0.0,7.0,256.0,0.0,33857.0,0.0,7.0,0.0,1416.0,40.0,2224.0,276.0,0.0
1,0.0,7895.0,14.0,1.0,0.0,43244.0,0.0,11.0,0.0,23.0,39.0,2.0,0.0,0.0
1,124937384.0,0.0,3.0,0.0,133658777685.0,13055.0,0.0,3.0,0.0,9904.0,28.0,0.0,0.0,0.0
1,0.0,6464.0,12.0,0.0,0.0,5360.0,0.0,12.0,0.0,22.0,30.0,0.0,0.0,0.0
1,0.0,7942.0,14.0,0.0,0.0,16726.0,0.0,14.0,0.0,196.0,31.0,1.0,0.0,0.0
1,0.0,365.0,8.0,0.0,0.0,4482.0,0.0,8.0,0.0,230.0,29.0,0.0,0.0,0.0
1,41723896.0,0.0,18.0,16.0,4078999356.0,66377.0,0.0,18.0,3.0,71733.0,42.0,0.0,0.0,0.0
1,33341512.0,0.0,122.0,8.0,1942401230.0,65388.0,0.0,125.0,0.0,97032.0,33.0,0.0,0.0,0.0
1,1223184.0,0.0,23.0,33512.0,2179222074.0,62511.0,0.0,22.0,54.0,38761.0,29.0,0.0,0.0,0.0
1,0.0,8026.0,10.0,0.0,0.0,34239.0,0.0,9.0,0.0,14.0,28.0,1.0,0.0,0.0
1,0.0,0.0,5.0,272.0,0.0,30266.0,0.0,5.0,0.0,1171.0,37.0,163.0,130.0,0.0
1,0.0,7792.0,25.0,1.0,0.0,41256.0,0.0,24.0,0.0,128.0,30.0,23.0,29.0,0.0
1,0.0,7988.0,7.0,0.0,0.0,37336.0,0.0,6.0,0.0,109.0,32.0,1.0,0.0,0.0
1,46521832.0,0.0,10.0,144.0,808254772.0,35043.0,0.0,10.0,53.0,2932.0,29.0,288.0,288.0,0.0
1,214650744.0,0.0,5.0,80.0,924272660.0,35018.0,0.0,5.0,172.0,2811.0,26.0,448.0,448.0,0.0
1,0.0,7684.0,8.0,41.0,0.0,32940.0,0.0,8.0,0.0,153.0,33.0,5.0,0.0,0.0
1,116188856.0,0.0,11.0,1880.0,160794335.0,31565.0,0.0,11.0,118.0,2368.0,29.0,72.0,72.0,0.0
1,119470200.0,0.0,3.0,0.0,84235953.0,29570.0,0.0,2.0,147.0,4069.0,26.0,16.0,16.0,26.0
1,0.0,468.0,10.0,0.0,0.0,60587.0,0.0,10.0,0.0,12946.0,37.0,808.0,0.0,0.0
1,235106274.0,0.0,292.0,0.0,678903463.0,32691.0,0.0,292.0,0.0,3045.0,26.0,0.0,0.0,0.0
1,19988176.0,0.0,13.0,0.0,939095216.0,33071.0,0.0,13.0,0.0,1891.0,27.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,0.0,7834.0,6.0,5.0,0.0,31205.0,0.0,5.0,0.0,16.0,26.0,1.0,0.0,0.0
1,0.0,0.0,9.0,61.0,0.0,31321.0,0.0,9.0,0.0,1240.0,42.0,168.0,21.0,0.0
1,0.0,416.0,16.0,58.0,0.0,48862.0,0.0,15.0,0.0,1837.0,37.0,41.0,38.0,0.0
1,77595482.0,0.0,8.0,0.0,0.0,47170.0,0.0,8.0,0.0,1730.0,35.0,445.0,0.0,0.0
1,196794760.0,0.0,6.0,352.0,910088721.0,38264.0,0.0,6.0,10.0,1995.0,43.0,1576.0,1576.0,0.0
1,0.0,0.0,9.0,0.0,0.0,36405.0,0.0,9.0,0.0,1797.0,26.0,56.0,7.0,0.0
1,52369656.0,0.0,10.0,0.0,126006070.0,34383.0,0.0,10.0,2.0,3692.0,41.0,304.0,304.0,0.0
1,18379520.0,0.0,51.0,0.0,25074570.0,33610.0,0.0,49.0,52.0,2504.0,35.0,896.0,896.0,0.0
1,196611328.0,0.0,4.0,24.0,172957758.0,28837.0,0.0,4.0,17.0,2366.0,43.0,1968.0,1968.0,0.0
1,0.0,8165.0,15.0,0.0,0.0,16747.0,0.0,15.0,0.0,252.0,35.0,16.0,16.0,0.0
1,94633080.0,0.0,78.0,90.0,3771603261.0,72217.0,0.0,79.0,65535.0,75056.0,39.0,40.0,40.0,0.0
1,30216440.0,0.0,41.0,30920.0,1121999270.0,66664.0,0.0,40.0,22.0,77640.0,36.0,0.0,0.0,0.0
1,74198872.0,0.0,25.0,33.0,287107257.0,66399.0,0.0,25.0,26.0,55315.0,41.0,16.0,16.0,0.0
1,71824552.0,0.0,28.0,14312.0,3400048736.0,63722.0,0.0,28.0,30.0,64471.0,37.0,0.0,0.0,0.0
1,0.0,1955.0,33.0,0.0,0.0,59934.0,0.0,33.0,0.0,49054.0,32.0,0.0,0.0,0.0
1,0.0,7788.0,28.0,2.0,0.0,43376.0,0.0,28.0,0.0,123.0,37.0,24.0,34.0,0.0
1,178916712.0,0.0,7.0,12696.0,267132571.0,29593.0,0.0,7.0,197.0,3814.0,27.0,2248.0,2248.0,0.0
1,64392808.0,0.0,5.0,0.0,591215755.0,28506.0,0.0,5.0,0.0,1325.0,42.0,0.0,0.0,0.0
1,0.0,0.0,5.0,38.0,0.0,36104.0,0.0,5.0,0.0,1373.0,37.0,16.0,0.0,0.0
1,121311664.0,0.0,3.0,0.0,426937380.0,5133.0,0.0,3.0,0.0,239.0,45.0,0.0,0.0,0.0
1,110179384.0,0.0,13.0,3096.0,861928699.0,40080.0,0.0,13.0,305.0,2024.0,28.0,752.0,752.0,0.0
1,222710720.0,0.0,11.0,3528.0,152290525.0,38285.0,0.0,11.0,65.0,2385.0,37.0,3664.0,3664.0,0.0
1,125708016.0,0.0,2.0,18688.0,194063782.0,8277.0,0.0,2.0,1053.0,2133.0,38.0,1192.0,1192.0,0.0
1,0.0,6557.0,9.0,30.0,0.0,21139.0,0.0,9.0,0.0,1202.0,33.0,136.0,75.0,0.0
1,5062792.0,0.0,3.0,0.0,487114384.0,19603.0,0.0,3.0,21.0,1815.0,31.0,936.0,936.0,0.0
1,0.0,330.0,19.0,1.0,0.0,19196.0,0.0,19.0,0.0,1017.0,39.0,688.0,0.0,0.0
1,0.0,362.0,15.0,0.0,0.0,1128.0,0.0,15.0,0.0,390.0,39.0,0.0,0.0,0.0
1,75803314.0,0.0,23.0,62032.0,119124629.0,63736.0,0.0,20.0,558.0,75613.0,33.0,0.0,0.0,0.0
1,0.0,0.0,6.0,1.0,0.0,31248.0,0.0,6.0,0.0,1019.0,35.0,2.0,0.0,0.0
1,46613528.0,0.0,11.0,512.0,843016857.0,35156.0,0.0,11.0,157.0,3008.0,28.0,320.0,320.0,0.0
1,131075.0,402.0,12.0,5.0,0.0,45497.0,0.0,12.0,0.0,1795.0,43.0,25.0,12.0,0.0
1,65536.0,409.0,15.0,0.0,0.0,45497.0,0.0,14.0,0.0,1787.0,41.0,93.0,47.0,0.0
1,196049696.0,0.0,7.0,240.0,341230248.0,38305.0,0.0,6.0,264.0,1998.0,39.0,48.0,48.0,0.0
1,206252712.0,0.0,8.0,20816.0,4504060510.0,38299.0,0.0,6.0,232.0,1987.0,43.0,8.0,8.0,0.0
1,130821520.0,0.0,3.0,32.0,883149710.0,30116.0,0.0,3.0,34.0,4302.0,26.0,136.0,136.0,0.0
1,7642904.0,0.0,39.0,1032.0,1202455426.0,65547.0,0.0,39.0,135.0,92030.0,38.0,0.0,0.0,0.0
1,0.0,0.0,8.0,1.0,0.0,29436.0,0.0,8.0,0.0,1135.0,34.0,1.0,0.0,0.0
1,171770648.0,0.0,19.0,312.0,227790623.0,42372.0,0.0,19.0,10.0,2209.0,38.0,8.0,8.0,0.0
1,0.0,7871.0,8.0,0.0,0.0,37404.0,0.0,7.0,0.0,161.0,30.0,1.0,2.0,0.0
1,0.0,7822.0,24.0,0.0,0.0,36856.0,0.0,23.0,0.0,226.0,31.0,0.0,0.0,0.0
1,0.0,52.0,77.0,0.0,0.0,36992.0,0.0,77.0,0.0,1858.0,26.0,0.0,0.0,0.0
1,0.0,1510.0,24.0,0.0,0.0,56864.0,0.0,24.0,0.0,3829.0,29.0,0.0,0.0,0.0
